02OL,,War Veterans Colony Heliport,34.811412,-95.307727
02OR,,Rowena Dell Airport,45.68149948120117,-121.31600189208984
02P,,Stottle Memorial Heliport,40.403596,-77.556602
02PA,,Lag III Heliport,40.438301,-79.769997
02PN,,Peco Berwyn Heliport,40.06959915161133,-75.4552001953125
02PR,,Cuylers Airport,18.464924,-66.363773
02RI,,Miramar Residence Heliport,41.457931,-71.304886
02SC,,Harpers Airport,32.760211,-81.225872
02T,,Wise River Airport,45.769100189208984,-112.98200225830078
02TA,,Matagorda Shore Facility Heliport,28.722177,-95.875813
02TE,,Baylor Medical Center Heliport,32.39540100097656,-96.86419677734375
02TN,,Ellis Field,35.780355,-86.585521
02UT,,Lucin Airport,41.369336,-113.841019
02VA,,The Greenhouse Airport,38.435699462890625,-77.8572006225586
02VG,,Northstar Aviation Heliport,36.63880157470703,-82.11669921875
02WA,,Cawleys South Prairie Airport,47.15230178833008,-122.09400177001953
02WI,,Beer Airport,45.031898498535156,-92.65579986572266
02WN,,Fowler Field,48.74580001831055,-119.31900024414062
02XA,,JLS Farms Airport,33.591319,-95.882864
03AA,,Trapper T Heliport,61.556055,-149.284527
03AK,,Joe Clouds Seaplane Base,60.72722244262695,-151.13278198242188
03AL,,Highland Medical Center Heliport,34.662604,-86.046774
03AR,,Hscmh Heliport,34.357601165771484,-92.78849792480469
03AZ,,Thompson International Aviation Airport,31.430971,-110.088087
03CA,,Grossmont Hospital Heliport,32.779484,-117.006952
03FA,,Lake Persimmon Airstrip,27.353099822998047,-81.40809631347656
03FL,,Ranger Heliport,26.683716,-80.186561
03GA,,HIA Airport,32.561626,-81.85509
03GE,,NGMC Lumpkin Hospital Heliport,34.523153,-83.975058
03ID,,Flying Y Ranch Airport,44.793965,-116.531543
03II,,Davis Field Ultralightport,37.9620018005,-87.7789001465
03IL,,Wix Airport,41.40230178833008,-87.81670379638672
03IN,,Heinzman Airport,40.18000030517578,-86.01249694824219
03IS,,OSF St Anthony's Health Center Heliport,38.904999,-90.173401
03KS,,Valley Grain Heliport,39.86470031738281,-95.26409912109375
03KY,,Flying H Farms Airport,37.796085,-87.53859
03LA,,Damien Heliport,30.199600219726562,-91.12789916992188
03LS,,Fmc Nr 1 Heliport,32.159000396728516,-91.70800018310547
03M,,Lakeside Lodge and Marina Seaplane Base,44.3209,-69.889503
03MA,,Hadley Airport,42.393431,-72.551553
03MD,,Upper Chesapeake Medical Center Heliport,39.518427,-76.346022
03ME,,Maple Ridge Airport,44.084251,-70.626905
03MI,,Harold Miller Heliport,43.550899505615234,-83.86219787597656
03MN,,Nauerth Land Ranch Airport,43.62519836425781,-95.22470092773438
03MS,,Vicksburg Medical Center Heliport,32.31880187988281,-90.8832015991211
03MT,,Cascade Field,47.267327,-111.71748
03MU,,McDonnell Airport,38.4925,-94.412498
03N,UTK,Utirik Airport,11.222219,169.851429
03NC,,Pilots Ridge Airport,34.104236,-77.905855
03ND,,Olafson Brothers Airport,48.626399993896484,-97.8290023803711
03NE,,Hyde Ranch Airport,41.5463981628418,-99.3311996459961
03NH,,Lorden Heliport,42.815399169921875,-71.12439727783203
03NM,,Miner's Colfax Medical Center Heliport,36.862377,-104.442853
03NR,,Johnston Medical Center Heliport,35.63027,-78.50392
03NV,,Llama Ranch Airport,40.58440017700195,-115.2979965209961
03NY,,Talmage Field,40.958308,-72.717326
03OH,,Gibbs Field,41.416933,-83.018339
03OI,,"Cleveland Clinic, Marymount Hospital Heliport",41.420312,-81.599552
03OK,,Sahoma Lake Airport,36.041259,-96.161517
03OL,,Bluebird Airport,35.012334,-97.702735
03OR,,Powwatka Ridge Airport,45.85540008544922,-117.48400115966797
03PA,,Collegeville Heliport,40.162899017333984,-75.4656982421875
03PN,,M.P. Metals Heliport,41.066861,-76.180806
03PR,,Sun View Field Airport,39.065931,-94.938417
03S,,Sandy River Airport,45.401629,-122.228771
03SC,,Seacoast Medical Center Heliport,33.8650016784668,-78.66190338134766
03TE,,Barronena Ranch Airport,27.490812,-98.669615
03TN,,Eagles Landing Heliport,35.92250061035156,-83.57939910888672
03TS,,Shannon Medical Center Heliport,31.4658,-100.43397
03TT,,Brazos Polo Airport,29.632117,-95.932481
03TX,,M D K Field Heliport,29.580929,-95.30508
03UT,,AZ Minerals Corporation Airport,37.114384,-109.99014
03WA,,Spangle Field,47.408199310302734,-117.37200164794922
03WN,,Aerostone Ranch Airport,45.875,-120.66999816894531
03WT,,Lopez Medical Clinic Heliport,48.524894,-122.912394
03WY,,Perala Field,44.367943,-104.510586
03XA,,Del Sol Medical Center Heliport,31.7574,-106.346895
03XS,,Creekside Airport,31.318099975585938,-100.75399780273438
04AA,,Flying W Ranch Airport,60.535833,-150.811387
04AL,,Anniston AHP (Anniston Army Depot),33.62639999,-85.96720123
04AN,,North 40 Airport,61.737511,-148.700724
04AR,,Saline Memorial Hospital Heliport,34.574319,-92.586047
04CA,,Gray Butte Field,34.566631,-117.670666
04CL,,Hunt's Sky Ranch Airport,33.08169937133789,-116.44100189208984
04CT,,Shingle Mill Heliport,41.75510025024414,-73.05239868164062
04FA,,Richards Field,25.558700561523438,-80.51509857177734
04FD,,Tampa General Hospital Brandon Healthplex Heliport,27.929372,-82.336981
04FL,,Cross Creek Farms Airport,29.240353,-81.222525
04GA,,Verge Towers Heliport,33.832365,-83.562335
04I,,Columbus Southwest Airport,39.91151,-83.188577
04IA,,Middlekoop Airport,41.08829879760742,-92.05460357666016
04ID,,Lanham Field,43.877015,-116.538365
04IL,,Schertz Aerial Service - Hudson Airport,40.6375007629,-89.0070037842
04IN,,Lake Gage Seaplane Base,41.701389,-85.113056
04IS,,Van Gorder Airport,40.1786003112793,-88.56900024414062
04KY,,Natchez Trace Farm Airport,37.135101318359375,-85.78939819335938
04LA,,Saint James Parish Hospital Heliport,30.051001,-90.703848
04LS,,La National Guard Heliport,30.44610023498535,-91.10530090332031
04MA,,Goddard Field,42.810908,-71.140959
04MD,,Chesapeake City Heliport,39.51810073852539,-75.82140350341797
04ME,,Beech Hill Airport,44.66669845581055,-69.8938980102539
04MI,,Rapids Airway Airport,42.53450012207031,-84.62830352783203
04MN,,Helblad Airport,47.985801696777344,-94.68689727783203
04MS,,Nick's Flying Service Inc Airport,32.940537,-90.836683
04MT,,Pluhar Airport,47.13749777779999,-106.488095
04NC,,Western Wake Medical Center Heliport,35.739200592,-78.7822036743
04NE,,Mc Connell Field Airport,41.159999847399995,-101.299003601
04NJ,,Emmanuel Airport,39.596801757799994,-75.2334976196
04NR,,McGee 04 Heliport,34.775671,-77.392244
04NV,,Kingston Ranch Airport,35.7555007935,-115.665000916
04NY,,Klaverack Airport,42.262298584,-73.6961975098
